,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_decay
21,64,20.0,0.05545293400064111,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1.0,,0.001,0.9994428346635159,1.0,4096,0.99
22,128,23.0,0.07174647600004391,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1.0,,0.001,0.9992791837328471,1.0,4096,0.99
23,256,23.0,0.09769034700002521,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1.0,,0.001,0.9990186610313407,1.0,4096,0.99
24,512,23.0,0.14461498400032724,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1.0,,0.001,0.9985476265579759,1.0,4096,0.99
25,1024,23.0,0.24375026400048228,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",geometric,1.0,,0.001,0.9975532262250478,1.0,4096,0.99
26,2048,23.0,0.49294987299981585,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1.0,,0.001,0.9950579405776752,1.0,4096,0.99
27,4096,24.0,0.6215294929997981,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,1.0,,0.001,0.9937728891742785,1.0,4096,0.99
28,0,12.0,0.00013568699978350196,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,5.0,0.005,0.001,4.999996607826156,5,4096,
29,1,12.0,0.000506096999743022,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,5.0,0.005,0.001,4.999987347591015,5,4096,
30,2,12.0,0.022929871999622264,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,5.0,0.005,0.001,4.999426786059943,5,4096,
31,4,10.0,0.04488876799950958,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",exponential,5.0,0.005,0.001,4.998877906728184,5,4096,
32,8,9.0,0.06700638300026185,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",exponential,5.0,0.005,0.001,4.998325121009618,5,4096,
33,16,13.0,0.09158704600031342,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",exponential,5.0,0.005,0.001,4.997710848031662,5,4096,
34,32,16.0,0.11764890999984345,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",exponential,5.0,0.005,0.001,4.997059642159529,5,4096,
35,64,12.0,0.1467152459999852,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",exponential,5.0,0.005,0.001,4.996333463856305,5,4096,
36,128,9.0,0.18292286599989893,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",exponential,5.0,0.005,0.001,4.995429019011003,5,4096,
37,256,15.0,0.22769148599945765,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",exponential,5.0,0.005,0.001,4.9943109518340485,5,4096,
38,512,22.0,0.29736003299967706,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",exponential,5.0,0.005,0.001,4.99257152287395,5,4096,
39,1024,24.0,0.3358927199997197,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",exponential,5.0,0.005,0.001,4.991609729549047,5,4096,
40,2048,24.0,0.3358927199997197,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",exponential,5.0,0.005,0.001,4.991609729549047,5,4096,
41,4096,24.0,0.3358927199997197,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",exponential,5.0,0.005,0.001,4.991609729549047,5,4096,
42,0,12.0,0.0001680269997450523,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,5.0,,0.001,4.99999155636823,5,4096,0.99
43,1,12.0,0.0005727230000047712,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,5.0,,0.001,4.999971219790325,5,4096,0.99
44,2,12.0,0.027663562999805436,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,5.0,,0.001,4.998610052735889,5,4096,0.99
45,4,10.0,0.05522502300027554,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",geometric,5.0,,0.001,4.997225619860016,5,4096,0.99
46,8,9.0,0.08267536200037284,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",geometric,5.0,,0.001,4.995847149797451,5,4096,0.99
47,16,13.0,0.11282203100017796,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",geometric,5.0,,0.001,4.994333716588384,5,4096,0.99
48,32,16.0,0.14229729999988194,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",geometric,5.0,,0.001,4.992854432503099,5,4096,0.99
49,64,14.0,0.17568489800032694,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",geometric,5.0,,0.001,4.991179328440818,5,4096,0.99
50,128,11.0,0.21651534000011452,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",geometric,5.0,,0.001,4.989131570000294,5,4096,0.99
51,256,19.0,0.262697993999609,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",geometric,5.0,,0.001,4.986816396015371,5,4096,0.99
52,512,23.0,0.32877296399965417,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,5.0,,0.001,4.983505872066388,5,4096,0.99
53,1024,23.0,0.4369462639997437,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",geometric,5.0,,0.001,4.978090858217728,5,4096,0.99
54,2048,23.0,0.6843190179997691,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,5.0,,0.001,4.965729804243139,5,4096,0.99
55,4096,24.0,0.8406987879998269,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,5.0,,0.001,4.9579314494309585,5,4096,0.99
56,0,12.0,0.0001572480005052057,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,10.0,0.005,0.001,9.999992137603066,10,4096,
57,1,12.0,0.0005683550007233862,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,10.0,0.005,0.001,9.999971582290343,10,4096,
58,2,12.0,0.04374840000036784,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,10.0,0.005,0.001,9.997812819222851,10,4096,
59,4,10.0,0.08849820400064345,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",exponential,10.0,0.005,0.001,9.9955760686471,10,4096,
60,8,9.0,0.13401349500054494,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",exponential,10.0,0.005,0.001,9.993301569700739,10,4096,
61,16,12.0,0.18119887500051846,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",exponential,10.0,0.005,0.001,9.990944159139852,10,4096,
62,32,13.0,0.22855576900019514,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",exponential,10.0,0.005,0.001,9.988578738780802,10,4096,
63,64,8.0,0.27870023400009813,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",exponential,10.0,0.005,0.001,9.98607469301918,10,4096,
64,128,8.0,0.3348093480008174,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",exponential,10.0,0.005,0.001,9.983273536946664,10,4096,
65,256,17.0,0.4044950970001082,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0]",exponential,10.0,0.005,0.001,9.979795683404486,10,4096,
66,512,18.0,0.4988752540002679,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",exponential,10.0,0.005,0.001,9.975087321014671,10,4096,
67,1024,22.0,0.6452901800003019,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",exponential,10.0,0.005,0.001,9.967787484993314,10,4096,
68,2048,24.0,0.7564680020004744,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",exponential,10.0,0.005,0.001,9.962248040280747,10,4096,
69,4096,24.0,0.7564680020004744,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",exponential,10.0,0.005,0.001,9.962248040280747,10,4096,
70,0,12.0,0.000170602000252984,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,10.0,,0.001,9.9999828539407,10,4096,0.99
71,1,12.0,0.0006009560001984937,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,10.0,,0.001,9.999939602086044,10,4096,0.99
72,2,12.0,0.053956845000357134,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,10.0,,0.001,9.99457862595769,10,4096,0.99
73,4,10.0,0.10821683199992549,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",geometric,10.0,,0.001,9.989129757327774,10,4096,0.99
74,8,9.0,0.1631353559996569,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",geometric,10.0,,0.001,9.983617782352383,10,4096,0.99
75,16,12.0,0.2178937959997711,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",geometric,10.0,,0.001,9.978124902641877,10,4096,0.99
76,32,13.0,0.27407331399990653,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",geometric,10.0,,0.001,9.972492613795216,10,4096,0.99
77,64,8.0,0.33363030799955595,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",geometric,10.0,,0.001,9.966525187042327,10,4096,0.99
78,128,15.0,0.3997277810003652,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0]",geometric,10.0,,0.001,9.959906605005047,10,4096,0.99
79,256,20.0,0.4774103509998895,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",geometric,10.0,,0.001,9.95213358290764,10,4096,0.99
80,512,23.0,0.5767252389996429,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]",geometric,10.0,,0.001,9.942204836881876,10,4096,0.99
81,1024,24.0,0.6876490799995736,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,10.0,,0.001,9.931127225559711,10,4096,0.99
82,2048,24.0,0.6876490799995736,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,10.0,,0.001,9.931127225559711,10,4096,0.99
83,4096,24.0,0.6876490799995736,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,10.0,,0.001,9.931127225559711,10,4096,0.99
84,0,12.0,0.00017086299976654118,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,50.0,0.005,0.001,49.999957284268305,50,4096,
85,1,12.0,0.0006448390004152316,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,50.0,0.005,0.001,49.999838790509784,50,4096,
86,2,12.0,0.060166967999975896,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",exponential,50.0,0.005,0.001,49.984960520313166,50,4096,
87,4,10.0,0.11932474700006424,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",exponential,50.0,0.005,0.001,49.97017771047749,50,4096,
88,8,9.0,0.17908884299959027,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",exponential,50.0,0.005,0.001,49.955247828776784,50,4096,
