,Iteration,Time,Fitness,Temperature,max_iters
0,0,8.474900096189231e-05,2.0,1,4096
1,1,0.0004086279986950103,2.0,1,4096
2,2,0.004474434001167538,2.0,1,4096
3,3,0.007702003000304103,2.0,1,4096
4,4,0.007762387002003379,2.0,1,4096
5,5,0.010976690999086713,2.0,1,4096
6,6,0.011037865999242058,2.0,1,4096
7,7,0.011092238000856014,2.0,1,4096
8,8,0.011145528002089122,2.0,1,4096
9,9,0.014576479999959702,2.0,1,4096
10,10,0.014641833000496263,2.0,1,4096
11,11,0.014696676000312436,2.0,1,4096
12,12,0.014749534999282332,2.0,1,4096
13,13,0.014801703000557609,2.0,1,4096
14,14,0.014853451000817586,2.0,1,4096
15,15,0.014904456002113875,2.0,1,4096
16,16,0.014954721002141014,2.0,1,4096
17,17,0.018518281998694874,2.0,1,4096
18,18,0.018579506999230944,2.0,1,4096
19,19,0.018634299998666393,2.0,1,4096
20,20,0.018686929000978125,2.0,1,4096
21,21,0.01873905699903844,2.0,1,4096
22,22,0.018790844002069207,2.0,1,4096
23,23,0.018842510999093065,2.0,1,4096
24,24,0.01889524099897244,1.0,1,4096
25,25,0.01894615600031102,1.0,1,4096
26,26,0.01899764300105744,1.0,1,4096
27,27,0.019049000002269167,1.0,1,4096
28,28,0.019100526998954592,1.0,1,4096
29,29,0.019150991000060458,1.0,1,4096
30,30,0.019202027000574162,1.0,1,4096
31,31,0.019252743000834016,1.0,1,4096
32,32,0.019303387998661492,1.0,1,4096
33,33,0.022832675000245217,2.0,1,4096
34,34,0.022890143001859542,2.0,1,4096
35,35,0.02294613800040679,2.0,1,4096
36,36,0.023001362002105452,2.0,1,4096
37,37,0.02305503300158307,2.0,1,4096
38,38,0.023108393001166405,2.0,1,4096
39,39,0.02316154300206108,2.0,1,4096
40,40,0.023213962002046173,2.0,1,4096
41,41,0.023266150001290953,2.0,1,4096
42,42,0.023318608000408858,2.0,1,4096
43,43,0.023371297000267077,2.0,1,4096
44,44,0.023424367002007784,2.0,1,4096
45,45,0.023477336999349063,2.0,1,4096
46,46,0.023530136000772472,2.0,1,4096
47,47,0.023583236001286423,2.0,1,4096
48,48,0.023635724999621743,2.0,1,4096
49,49,0.023688033001235453,1.0,1,4096
50,50,0.023738908999803243,1.0,1,4096
51,51,0.023790024999470916,1.0,1,4096
52,52,0.023841821999667445,1.0,1,4096
53,53,0.023893309000413865,1.0,1,4096
54,54,0.023944215001392877,1.0,1,4096
55,55,0.02400175300135743,1.0,1,4096
56,56,0.024055713998677675,1.0,1,4096
57,57,0.024107031000312418,1.0,1,4096
58,58,0.02415844799907063,1.0,1,4096
59,59,0.024210325002059108,1.0,1,4096
60,60,0.02426174200081732,1.0,1,4096
61,61,0.02431292799883522,1.0,1,4096
62,62,0.024363974000152666,1.0,1,4096
63,63,0.024415129999397323,1.0,1,4096
64,64,0.02446649700141279,1.0,1,4096
65,65,0.028275519001908833,1.0,1,4096
66,66,0.028356922000966733,1.0,1,4096
67,67,0.028426713000953896,1.0,1,4096
68,68,0.028537330999824917,1.0,1,4096
69,69,0.028607854001165833,1.0,1,4096
70,70,0.028689407001365907,1.0,1,4096
71,71,0.02877332500065677,1.0,1,4096
72,72,0.02884129300218774,1.0,1,4096
73,73,0.028897768999740947,1.0,1,4096
74,74,0.028957450998859713,1.0,1,4096
75,75,0.029012303999479627,1.0,1,4096
76,76,0.02906511400215095,1.0,1,4096
77,77,0.02911733200016897,1.0,1,4096
78,78,0.029169559998990735,1.0,1,4096
79,79,0.029222059001767775,1.0,1,4096
80,80,0.029273255000589415,1.0,1,4096
81,81,0.02932556399900932,1.0,1,4096
82,82,0.029377360999205848,1.0,1,4096
83,83,0.02942909800185589,1.0,1,4096
84,84,0.029480836001312127,1.0,1,4096
85,85,0.029532201999245444,1.0,1,4096
86,86,0.02958374900117633,1.0,1,4096
87,87,0.029635176000738284,1.0,1,4096
88,88,0.029686693000257947,1.0,1,4096
89,89,0.029740063000645023,1.0,1,4096
90,90,0.029805656002281466,1.0,1,4096
91,91,0.029860288999771,1.0,1,4096
92,92,0.029913648999354336,1.0,1,4096
93,93,0.02996668899868382,1.0,1,4096
94,94,0.030018967001524288,1.0,1,4096
95,95,0.030071727000176907,1.0,1,4096
96,96,0.03012435599885066,1.0,1,4096
97,97,0.030177194999851054,1.0,1,4096
98,98,0.030231798002205323,1.0,1,4096
99,99,0.030288624999229796,1.0,1,4096
100,100,0.030341925001266645,4.0,1,4096
101,101,0.03039378199900966,4.0,1,4096
102,102,0.030448945999523858,4.0,1,4096
103,103,0.030503918998874724,4.0,1,4096
104,104,0.030558742000721395,4.0,1,4096
105,105,0.030605399999330984,4.0,1,4096
106,106,0.030653671001346083,4.0,1,4096
107,107,0.030713904001459014,4.0,1,4096
108,108,0.030769238001084886,4.0,1,4096
109,109,0.030824612000287743,4.0,1,4096
110,110,0.030878984998707892,4.0,1,4096
111,111,0.030934028000046965,4.0,1,4096
112,112,0.030988851001893636,4.0,1,4096
113,113,0.031044847000885056,4.0,1,4096
114,114,0.031101343000045745,4.0,1,4096
115,115,0.03115961200091988,4.0,1,4096
116,116,0.031214496000757208,4.0,1,4096
117,117,0.031269569000869524,4.0,1,4096
118,118,0.031324491999839665,4.0,1,4096
119,119,0.031379866999486694,4.0,1,4096
120,120,0.03143465999892214,4.0,1,4096
121,121,0.03148995399897103,4.0,1,4096
122,122,0.03154544800054282,4.0,1,4096
123,123,0.03160053200190305,4.0,1,4096
124,124,0.03165609600182506,4.0,1,4096
125,125,0.03171197100164136,4.0,1,4096
